geneID	RNAi-GLAD_1	RNAi-GLAD_2	RNAi-GLAD_3	RNAI-GFP_1	RNAI-GFP_2	RNAi-GFP_3
FBgn0029813	0.939601378	0.741787004	0.710303762	0.882286049	0.918285048	1.09697483
FBgn0053897	0	0	0	0	0	0
FBgn0039277	22.03260052	20.92586675	23.75780558	24.19923453	23.50021642	22.01203849
FBgn0013342	444.0077778	453.6298771	435.848857	467.9767348	462.7858548	442.1754784
Novel00131	0.488197363	0.400472479	0.559739611	0.649424804	0.497001918	0.530895136
FBgn0052751	0.080790523	0.027904488	0	0.075862331	0	0
FBgn0259244	35.77190206	35.81524166	36.27574374	36.40916628	35.68639037	35.27638271
FBgn0260464	0	0	0	0	0	0
FBgn0015790	118.8531397	118.1001902	106.907939	108.0520279	107.4760149	117.4539469
FBgn0052117	0.598486338	0	0	0	0.159520565	0.258180492
FBgn0030356	3.011732333	0.067841185	0.13858526	0.061478648	0.831832262	1.190959504
FBgn0020518	0.548961245	1.137644492	0	0	0	0
FBgn0004811	15.15133035	17.49128407	17.63310877	16.90757398	15.98791451	19.79780976
FBgn0033461	0	0	0	0	0	0
FBgn0053111	7.44753695	6.867572861	5.833112869	6.616554954	6.119460109	6.441874963
FBgn0031443	0.249361763	0	0	0	0.243704601	0.309909668
FBgn0037995	1.200251635	0.186551374	0.381085186	0.281759185	0.997068739	1.186568836
FBgn0026255	3.56824809	3.604579681	4.047161479	4.059133231	3.924771297	3.499754304
FBgn0037242	35.72405272	34.40325305	32.58744934	30.81238203	31.63621475	34.36880891
FBgn0003510	0.640454785	0.734728735	0.484160043	0.601387286	0.581216132	0.633153638
FBgn0262955	21.14279202	22.0723535	21.84794972	18.59562079	20.44130819	25.06865522
FBgn0038511	0.027886016	0.144474553	0.280374543	0.091647427	0.1226402	0.13232696
FBgn0036090	15.24848464	12.71460949	13.85603347	13.4505551	13.29688704	14.82087078
FBgn0026630	33.93588145	34.6970694	30.80368758	38.0160213	35.62643737	29.34830547
FBgn0030804	0.335046769	0.069433701	0.070919218	0.188765426	0.065489142	0.105992722
FBgn0011950	0	0	0	0.550781311	0	0
FBgn0036273	10.870924	10.44631385	10.61118472	10.24681246	10.15060514	10.38283037
FBgn0010078	1532.037812	1626.124779	1600.853111	1546.123124	1669.671547	1717.822969
FBgn0263553	0	0	0	0	0	0
FBgn0038569	15.2302467	16.62265935	14.27434589	13.53872432	13.52980826	16.07084002
FBgn0031601	21.69212205	21.59834964	19.66744381	18.04672228	20.23322692	22.52056743
FBgn0039104	13.19393452	0.050822606	1.297748569	0.829011045	5.848112828	9.309876177
FBgn0013981	800.7555223	785.1475064	852.2822456	845.7473612	849.1346967	806.3757721
FBgn0260002	0	0.576209548	0	0.522169294	0.543474824	0
FBgn0082995	0	0	0	0	0	0
FBgn0261625	27.88466767	25.49427688	26.48611559	21.75375188	22.68714934	28.44089052
FBgn0058378	4.328694404	4.485303285	3.136722116	5.199817	3.544465589	4.163689499
FBgn0086057	2.302095542	0.477076723	0.974567313	0	0.449973779	1.82068143
FBgn0038269	7.621206654	7.614422232	6.678061462	6.814958442	7.080333323	8.009231711
FBgn0005630	165.4337184	160.8917036	168.6470087	173.8870668	171.1781117	159.4513414
FBgn0040751	5.554894324	5.156296793	5.144135032	7.280733487	7.577801671	7.779722542
FBgn0051989	3.17367808	3.490704808	3.532777288	3.674473637	3.453000994	3.330418945
FBgn0035959	20.26518829	21.61034171	23.40095745	24.29752759	23.41298913	19.55976895
FBgn0037294	0.694898392	0.308588266	0.350211592	0.838941239	0.679133532	0.497240199
FBgn0033942	10.75303635	11.94270105	5.656154201	6.771711272	7.362653672	10.59225912
FBgn0039065	10.02690503	9.727064287	9.285460786	9.679471552	9.79942897	9.16409653
FBgn0024332	2.083421543	2.174908588	2.007523735	2.131527672	1.504324105	1.537067656
FBgn0036705	0.449936712	0.077702513	0	0.070415124	0	0.118615323
FBgn0050075	0.182726787	0.063112568	0	0	0.178581343	0.14451497
FBgn0036771	7.842937216	7.768158351	7.751255577	7.364521013	7.185944899	7.593896727
FBgn0052814	0.094314927	0.09772717	0.099818018	0.044280876	0.092175246	0.037295897
FBgn0033960	6.237613562	6.284741887	8.771694085	8.332645221	7.965350734	7.399806159
FBgn0052226	8.926958143	8.875597205	8.82401028	7.650406211	8.101925755	8.571431846
FBgn0029128	9.756609777	8.683477888	9.338617245	9.290697172	9.475483561	10.51014365
FBgn0028939	2.761939845	3.26806489	2.677930906	2.610194576	2.943086928	2.973552368
FBgn0264426	0.935540676	0.969387828	1.980255262	0.946047898	0.632988325	1.365970068
FBgn0053642	0.121991388	0.189607415	0	0.114549959	0	0.048240277
FBgn0024689	16.54568742	17.76178314	15.86015552	16.03014848	16.06754509	17.27195438
FBgn0262883	0.263231416	0.09091831	0	0.082391467	0.257259599	0.069394825
FBgn0261445	23.71512577	23.77351947	23.32600089	25.06091279	25.14532595	22.04553102
FBgn0030576	10.33725028	9.597536812	9.468304579	11.19088405	9.809229064	8.61305308
FBgn0028689	77.1693677	75.54784869	75.41406018	69.40360166	72.65167635	76.21037945
FBgn0261635	0	0	0	0	0	0
FBgn0021800	36.31524656	38.15933293	43.65772272	42.06703733	41.63783969	39.0866753
FBgn0051908	32.15801499	33.59366474	26.80583267	23.59799435	24.23992185	33.88198782
FBgn0061198	34.44391545	37.40123793	29.83706289	29.57377004	27.66780924	35.823788
FBgn0004118	16.18925139	15.31953535	15.93847658	17.98914718	16.6569428	16.68611122
FBgn0029864	14.99345306	13.13635562	15.10899712	16.31305604	14.22728336	12.51161466
FBgn0030494	0	0	0	0	0	0.155699653
FBgn0031001	0.099604754	0.022935195	0.38652715	0.550781311	0.411012493	0.026258471
FBgn0034900	0	0	0	0	0	0
FBgn0029658	0.467116114	0.053779558	0	0	0.304345902	0.246288542
FBgn0038519	46.88872819	46.34204617	50.26609293	47.11825516	47.43287807	47.66393027
FBgn0036177	0	0	0	0	0	0
FBgn0036546	12.71230915	12.97478842	12.56095213	12.01354531	12.18447753	12.80958766
FBgn0261053	2.452846317	2.083586459	2.75409492	2.718271531	2.415452443	2.304255265
FBgn0261952	0.163743698	0.169667821	0	0.153755395	0	0
FBgn0026778	0	0	0	0	0	0
FBgn0086898	2.619211791	3.2860358	3.831934385	3.339534897	3.438150478	2.965062963
FBgn0037016	12.53114614	10.72405163	12.349523	12.51309009	11.18909918	11.10097943
FBgn0050069	14.81074659	14.65068962	15.71629305	16.69676403	16.37090496	14.54354282
FBgn0037177	0	0	0.069719046	0	0	0
FBgn0038608	0.226705372	0.381724525	0.329908127	0	0.276952756	0.672362831
FBgn0003141	37.23905493	37.76622229	50.17580526	45.33510492	42.73711222	42.62817634
FBgn0035880	224.2259815	223.2449949	180.4174228	239.7301977	238.7448626	162.8709373
FBgn0032299	9.224042682	4.326144702	8.426360915	12.30827623	9.489242964	3.532369685
FBgn0030661	0.709104079	0.367379463	0.750478905	0.614629845	0.986216417	0.517676554
FBgn0033686	2.702303693	2.511403879	3.007399326	3.32224693	2.886038722	2.445659649
FBgn0000241	23.58805289	22.0866266	27.91696582	23.12051722	24.04856204	25.33652814
FBgn0008635	55.44230439	57.01263224	52.50674274	45.10878005	44.37855711	61.47757424
FBgn0263411	0.242600437	0.125688768	0.385133541	0.797306656	0.237096666	0.287801767
FBgn0259145	5.576581739	5.142511418	5.645046869	6.88268469	5.568691251	4.911711071
FBgn0036638	0	0.053584704	0.054731135	0.097118444	0.050540533	0
FBgn0050440	1.901397755	2.26830957	2.383034884	2.678119817	2.176122098	2.186413405
FBgn0035767	8.908646238	9.482915834	11.01935261	12.08079234	10.97499289	7.93730628
FBgn0037566	22.67299934	22.76594478	22.36152687	20.30125736	21.64410761	22.06755435
FBgn0035915	17.52327775	0.753065944	1.303328705	1.895664105	8.582597472	12.43780363
FBgn0038567	0.291285558	0	0.03082815	0	0.142338644	0.207334742
FBgn0040098	0.64877238	0	0	0	0.211351321	0.427584275
FBgn0050469	0	0	0.025302836	0	0	0.018908249
FBgn0004167	25.91758769	27.18538641	30.14077829	28.13595019	30.46714204	28.15505014
FBgn0086662	2.096033843	1.551333398	2.218333289	0.843504245	1.17056116	2.604974969
FBgn0002542	1.874842217	1.541604697	1.241747419	1.43109788	1.442204096	1.253184286
FBgn0036228	0	0	0	0	0	0.035202364
FBgn0003520	51.42200454	53.98897428	52.70221488	56.43369711	54.381746	49.97699032
FBgn0065047	1.23754269	1.282316046	0.523900347	0	0.241893419	0.782998256
FBgn0039868	12.57584701	12.97807522	12.0163802	10.61351001	10.99680272	14.0935031
FBgn0262140	1.593758452	0.990851654	0.787150522	0.598615916	0.72688072	1.512566111
FBgn0085273	0.589251978	1.356823706	1.108682081	1.045137013	1.983600008	1.03561696
FBgn0051324	11.12705837	10.5022344	12.53418102	8.706926679	9.977377434	15.55277294
FBgn0034300	11.89604452	11.98378939	12.46452295	11.84714239	10.89693927	11.29269545
FBgn0031655	2.486377765	2.557930648	2.462288173	2.41809215	2.725038221	2.036656083
FBgn0037829	0.683685619	0.209902473	0.080397481	0.261547837	0.148483364	0.300396286
FBgn0051858	0.536728125	0.06179406	0.063116128	0.055998657	0.174850535	0.660313989
FBgn0039566	7.762825441	6.650956845	7.998038566	6.980209269	7.171186863	7.376034184
FBgn0053422	0	0	0	0	0	0
FBgn0032374	0.144658706	0	0	0	0.565507587	0.190679474
FBgn0038790	26.68197452	0	1.01456821	3.150551303	13.11639986	4.928068318
FBgn0038188	0.024594473	0	0	0	0	0
FBgn0033138	1.833959912	2.189488981	1.856577953	1.534905459	2.727494695	2.396382932
FBgn0033354	0.595364281	0.548359208	0.440071667	0.443688321	0.526442508	0.276537842
FBgn0259139	120.1950136	114.0071749	124.2654688	122.747082	117.1770541	120.6154157
FBgn0037619	3.901427881	4.744183131	5.118679975	3.784547786	4.66373426	5.151102611
FBgn0036094	15.62766972	10.28889241	7.183381181	8.851842492	6.715264267	10.3383351
FBgn0051057	86.61854142	92.42199334	91.32662849	91.44527872	99.02858058	84.79094097
FBgn0039325	63.38482035	47.930781	37.63532603	53.98803452	45.11447147	41.4936682
FBgn0004623	754.5895449	763.6101085	658.4930626	744.680377	808.0632811	640.7261113
FBgn0035410	5.395578919	4.219296968	6.879247886	4.979371026	3.954878816	5.554100007
FBgn0260010	60.58977143	57.98324964	70.6212047	59.82737884	61.24471443	66.31953226
FBgn0085658	0.203899891	0	0	0	0.099637051	0
FBgn0259989	0	0	0	0	0	0
FBgn0039163	25.37276954	25.52576925	26.89434351	22.32913415	25.17689043	27.4113337
FBgn0037850	3.146197241	3.617831813	1.543064912	2.017557346	1.912388562	4.035843836
FBgn0034328	3.31501758	3.912029125	2.923701938	2.594002302	3.419800722	5.097908003
FBgn0030528	9.740266865	9.340660041	8.934113283	7.998366598	7.951409985	8.639872376
FBgn0036589	34.77143883	41.22145894	33.74698514	21.10156482	26.11762702	48.15508692
FBgn0000137	0	0	0	0.015019438	0	0
FBgn0086447	4.950170761	4.188899084	3.929252605	4.725682421	4.43471268	4.43699012
FBgn0024996	30.53069076	30.94611797	32.17802133	28.1330294	29.77614951	31.56027366
FBgn0037749	30.09670894	29.90668093	35.36966247	32.54006213	35.90910485	28.15798885
FBgn0036366	4.410705934	5.379181387	4.915923633	3.77513644	4.272494881	4.630538914
FBgn0262237	0	0	0	0	1.512562463	0.816016255
FBgn0250791	109.9640977	117.0075604	102.5223627	109.6467229	105.9127413	112.2605783
FBgn0035760	4.077997817	4.445616721	4.315940957	3.510138035	3.321235037	4.165892509
FBgn0034197	0.400177356	1.174857163	0.847053833	1.189927847	0.879972087	0.448364072
FBgn0038672	7.809131452	8.465644187	9.306557741	8.164647091	8.754317457	7.655232954
FBgn0032395	6.348471167	6.316679297	6.114472804	6.117106389	6.321266264	6.312862727
FBgn0002563	271.8059904	722.2212687	614.9420603	380.9250059	792.1799611	640.1788485
FBgn0243514	5.357236454	6.720408239	5.4364382	5.115708871	6.237200922	6.72984748
FBgn0040371	3.023939059	0.584890671	0.682747722	0.719334913	1.457965889	2.61478655
FBgn0040397	10.39850556	10.96275602	11.84071405	14.1180458	13.488057	10.79306433
FBgn0051892	0	0	0	0	0	0
